Currency,Rate,Deviation
RUB,1.0,-17.924149197530866
AED,0.0358,-18.888349197530868
AFN,0.702,-18.222149197530868
ALL,0.932,-17.992149197530868
AMD,3.88,-15.044149197530867
ANG,0.0174,-18.906749197530868
AOA,9.06,-9.864149197530866
ARS,10.14,-8.784149197530866
AUD,0.0157,-18.908449197530867
AWG,0.0174,-18.906749197530868
AZN,0.0165,-18.907649197530866
BAM,0.0185,-18.905649197530867
BBD,0.0195,-18.904649197530865
BDT,1.19,-17.734149197530865
BGN,0.0185,-18.905649197530867
BHD,0.00366,-18.920489197530866
BIF,28.88,9.955850802469133
BMD,0.00973,-18.914419197530865
BND,0.0133,-18.910849197530865
BOB,0.0674,-18.856749197530867
BRL,0.0591,-18.865049197530865
BSD,0.00973,-18.914419197530865
BTN,0.842,-18.082149197530867
BWP,0.137,-18.787149197530866
BYN,0.0326,-18.891549197530868
BZD,0.0195,-18.904649197530865
CAD,0.014,-18.910149197530867
CDF,27.56,8.635850802469133
CHF,0.0089,-18.915249197530866
CLP,9.81,-9.114149197530866
CNY,0.0714,-18.852749197530866
COP,41.79,22.865850802469133
CRC,4.9,-14.024149197530866
CUP,0.234,-18.690149197530864
CVE,1.04,-17.884149197530867
CZK,0.239,-18.685149197530865
DJF,1.73,-17.194149197530866
DKK,0.0706,-18.853549197530867
DOP,0.595,-18.329149197530867
DZD,1.32,-17.604149197530866
EGP,0.491,-18.433149197530867
ERN,0.146,-18.778149197530865
ETB,1.24,-17.684149197530868
EUR,0.00947,-18.914679197530866
FJD,0.0227,-18.901449197530866
FKP,0.00799,-18.916159197530867
FOK,0.0706,-18.853549197530867
GBP,0.00799,-18.916159197530867
GEL,0.0276,-18.896549197530867
GGP,0.00799,-18.916159197530867
GHS,0.147,-18.777149197530868
GIP,0.00799,-18.916159197530867
GMD,0.705,-18.219149197530868
GNF,83.83,64.90585080246913
GTQ,0.075,-18.849149197530867
GYD,2.04,-16.884149197530867
HKD,0.0758,-18.848349197530865
HNL,0.247,-18.677149197530866
HRK,0.0713,-18.852849197530865
HTG,1.27,-17.654149197530867
HUF,3.9,-15.024149197530866
IDR,158.64,139.7158508024691
ILS,0.0353,-18.888849197530867
IMP,0.00799,-18.916159197530867
INR,0.842,-18.082149197530867
IQD,12.73,-6.194149197530866
IRR,414.46,395.5358508024691
ISK,1.37,-17.554149197530865
JEP,0.00799,-18.916159197530867
JMD,1.52,-17.404149197530867
JOD,0.0069,-18.917249197530865
JPY,1.54,-17.384149197530867
KES,1.26,-17.664149197530865
KGS,0.848,-18.076149197530867
KHR,39.52,20.595850802469137
KID,0.0157,-18.908449197530867
KMF,4.66,-14.264149197530866
KRW,14.22,-4.704149197530866
KWD,0.003,-18.921149197530866
KYD,0.00811,-18.916039197530868
KZT,5.15,-13.774149197530866
LAK,213.12,194.19585080246912
LBP,871.24,852.3158508024692
LKR,2.87,-16.054149197530865
LRD,1.82,-17.104149197530866
LSL,0.184,-18.740149197530865
LYD,0.0482,-18.875949197530865
MAD,0.0979,-18.826249197530867
MDL,0.182,-18.742149197530868
MGA,45.52,26.595850802469137
MKD,0.57,-18.354149197530866
MMK,20.42,1.4958508024691355
MNT,33.12,14.195850802469131
MOP,0.0781,-18.846049197530867
MRU,0.386,-18.538149197530867
MUR,0.458,-18.466149197530868
MVR,0.15,-18.774149197530868
MWK,16.96,-1.9641491975308654
MXN,0.2,-18.724149197530867
MYR,0.0438,-18.880349197530865
MZN,0.622,-18.302149197530866
NAD,0.184,-18.740149197530865
NGN,15.08,-3.844149197530866
NIO,0.358,-18.566149197530866
NOK,0.111,-18.813149197530866
NPR,1.35,-17.574149197530865
NZD,0.0174,-18.906749197530868
OMR,0.00374,-18.920409197530866
PAB,0.00973,-18.914419197530865
PEN,0.0368,-18.887349197530867
PGK,0.0396,-18.884549197530866
PHP,0.571,-18.353149197530865
PKR,2.71,-16.214149197530865
PLN,0.0404,-18.883749197530864
PYG,76.87,57.94585080246914
QAR,0.0354,-18.888749197530867
RON,0.0472,-18.876949197530866
RSD,1.11,-17.814149197530867
RWF,13.76,-5.164149197530866
SAR,0.0365,-18.887649197530866
SBD,0.0822,-18.841949197530866
SCR,0.142,-18.782149197530867
SDG,4.37,-14.554149197530865
SEK,0.109,-18.815149197530864
SGD,0.0133,-18.910849197530865
SHP,0.00799,-18.916159197530867
SLE,0.217,-18.707149197530867
SLL,216.56,197.63585080246912
SOS,5.56,-13.364149197530867
SRD,0.343,-18.581149197530866
SSP,39.39,20.465850802469134
STN,0.232,-18.692149197530867
SYP,125.74,106.81585080246913
SZL,0.184,-18.740149197530865
THB,0.338,-18.586149197530865
TJS,0.107,-18.817149197530867
TMT,0.0341,-18.890049197530868
TND,0.0313,-18.892849197530865
TOP,0.0238,-18.900349197530865
TRY,0.345,-18.579149197530867
TTD,0.066,-18.858149197530867
TVD,0.0157,-18.908449197530867
TWD,0.321,-18.603149197530865
TZS,24.42,5.4958508024691355
UAH,0.412,-18.512149197530867
UGX,35.87,16.94585080246913
USD,0.00973,-18.914419197530865
UYU,0.425,-18.499149197530866
UZS,125.97,107.04585080246913
VES,0.526,-18.398149197530866
VND,247.66,228.73585080246914
VUV,1.22,-17.704149197530867
WST,0.0278,-18.896349197530867
XAF,6.21,-12.714149197530865
XCD,0.0263,-18.897849197530867
XDR,0.00754,-18.916609197530867
XOF,6.21,-12.714149197530865
XPF,1.13,-17.794149197530867
YER,2.42,-16.504149197530865
ZAR,0.184,-18.740149197530865
ZMW,0.27,-18.654149197530867
ZWL,0.255,-18.669149197530867
